pH,EC_uScm,TDS_mgL,HCO3_mgL,Cl_mgL,F_mgL,SO4,NO3,Total_Hardness_mgL,Ca_mgL,Mg_mgL,Na_mgL,K_mgL,pH_exceed,TDS_mgL_exceed,NO3_exceed,F_mgL_exceed,Cl_mgL_exceed,SO4_exceed,Total_Hardness_mgL_exceed,risk_score,risk_label,Latitude,Longitude,State,District,Location,coordinate_flag
7.09,410.0,274.7,271.0,5.0,0.18,8.0,3.0,228.0,77.0,9.0,6.0,1.0,0,0,0,0,0,0,1,1,MODERATE,33.2867,74.2834,Jammu & Kashmir,Rajouri,Chittiar,
6.8,1000.0,670.0,505.0,56.0,0.27,34.0,40.0,515.0,173.0,21.0,27.0,3.0,0,1,0,0,0,0,1,2,MODERATE,33.1128,74.3788,Jammu & Kashmir,Rajouri,Siot,
7.11,450.0,301.5,288.0,10.0,0.22,14.0,4.0,230.0,76.0,10.0,16.0,0.0,0,0,0,0,0,0,1,1,MODERATE,33.0422,74.4465,Jammu & Kashmir,Rajouri,Ainpur,
6.85,800.0,536.0,362.0,53.0,0.39,60.0,52.0,385.0,120.0,21.0,35.0,2.0,0,1,1,0,0,0,1,3,HIGH,33.0544,74.4136,Jammu & Kashmir,Rajouri,Baja Bain,
7.13,690.0,462.3,454.0,10.0,0.22,20.0,10.0,380.0,134.0,11.0,9.0,1.0,0,0,0,0,0,0,1,1,MODERATE,33.088,74.4275,Jammu & Kashmir,Rajouri,Bakhar,
7.29,670.0,448.9,417.0,15.0,0.25,23.0,9.0,360.0,122.0,13.0,13.0,1.0,0,0,0,0,0,0,1,1,MODERATE,33.0367,74.4566,Jammu & Kashmir,Rajouri,Banpari,
7.05,520.0,348.40000000000003,339.0,8.0,0.33,14.0,4.0,257.0,83.0,12.0,19.0,3.0,0,0,0,0,0,0,1,1,MODERATE,33.0873,74.464,Jammu & Kashmir,Rajouri,Channi Parat,
7.17,720.0,482.4,429.0,20.0,0.19,21.0,14.0,350.0,106.0,21.0,27.0,1.0,0,0,0,0,0,0,1,1,MODERATE,33.0322,74.4124,Jammu & Kashmir,Rajouri,Dhok Baniyar,
6.9,580.0,388.6,325.0,13.0,0.28,18.0,19.0,295.0,92.0,16.0,15.0,1.0,0,0,0,0,0,0,1,1,MODERATE,33.0605,74.3916,Jammu & Kashmir,Rajouri,Kangri (Grid Station),
7.25,780.0,522.6,505.0,28.0,0.2,19.0,0.0,421.0,145.0,15.0,23.0,2.0,0,1,0,0,0,0,1,2,MODERATE,33.0884,74.4784,Jammu & Kashmir,Rajouri,Marchola,
7.11,650.0,435.5,313.0,35.0,0.27,36.0,9.0,325.0,100.0,18.0,18.0,1.0,0,0,0,0,0,0,1,1,MODERATE,33.0501,74.5244,Jammu & Kashmir,Rajouri,Salote,
7.25,810.0,542.7,455.0,47.0,0.28,48.0,13.0,449.0,158.0,13.0,31.0,1.0,0,1,0,0,0,0,1,2,MODERATE,33.0673,74.4868,Jammu & Kashmir,Rajouri,Thanda Pani,
7.21,580.0,388.6,325.0,18.0,0.36,16.0,33.0,266.0,89.0,11.0,33.0,1.0,0,0,0,0,0,0,1,1,MODERATE,32.4703,74.9583,Jammu & Kashmir,Samba,Didyal,
7.33,730.0,489.1,510.0,12.0,0.23,17.0,11.0,424.0,117.0,32.0,10.0,2.0,0,0,0,0,0,0,1,1,MODERATE,33.1418,74.5883,Jammu & Kashmir,Rajouri,Thangrot,
7.37,790.0,529.3000000000001,388.0,48.0,0.23,27.0,21.0,402.0,119.0,26.0,16.0,2.0,0,1,0,0,0,0,1,2,MODERATE,32.6372,74.9014,Jammu & Kashmir,Samba,Bassi Kalan,
7.58,1180.0,790.6,686.0,10.0,0.82,52.0,15.0,275.0,68.0,26.0,199.0,2.0,0,1,0,0,0,0,1,2,MODERATE,32.6083,74.9458,Jammu & Kashmir,Samba,Patli,
7.2,620.0,415.4,397.0,10.0,0.34,12.0,12.0,325.0,92.0,22.0,25.0,2.0,0,0,0,0,0,0,1,1,MODERATE,32.5042,75.1542,Jammu & Kashmir,Samba,Naran,
